runtime: 6.76
runtime: 0.00
(32, 32)  3   db2 error 6.161e-11 True
         1033043 function calls (1021110 primitive calls) in 15.470 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75536    6.532    0.000    6.532    0.000 {method 'select' of 'torch._C._TensorBase' objects}
        6    1.728    0.288   11.457    1.910 matmul_transform.py:84(orth_via_gram_schmidt)
       96    1.511    0.016    1.949    0.020 sparse_math.py:8(sparse_kron)
        1    1.328    1.328    1.336    1.336 {method 'cuda' of 'torch._C._TensorBase' objects}
    72848    1.257    0.000    1.257    0.000 {method 'to_dense' of 'torch._C._TensorBase' objects}
      828    0.698    0.001    0.698    0.001 {built-in method _sparse_sparse_matmul}
    72048    0.582    0.000    0.582    0.000 {built-in method sum}
     3691    0.430    0.000    0.430    0.000 {method 'coalesce' of 'torch._C._TensorBase' objects}
    41312    0.213    0.000    0.213    0.000 {built-in method zeros_like}
     1904    0.205    0.000    0.205    0.000 {built-in method cat}
     1823    0.160    0.000    0.160    0.000 {built-in method sparse_coo_tensor}
    66/63    0.156    0.002    0.157    0.002 {built-in method _imp.create_dynamic}
        1    0.094    0.094    0.094    0.094 {method 'decompress' of '_bz2.BZ2Decompressor' objects}
      734    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
      800    0.046    0.000    1.120    0.001 sparse_math.py:67(sparse_replace_row)
     1829    0.024    0.000    0.024    0.000 {built-in method stack}
2180/2039    0.020    0.000    0.097    0.000 {built-in method builtins.__build_class__}
     1848    0.018    0.000    0.018    0.000 {built-in method arange}
      800    0.015    0.000    0.015    0.000 {built-in method torch._C._linalg.linalg_norm}
     2672    0.014    0.000    0.025    0.000 inspect.py:625(cleandoc)
      337    0.010    0.000    0.010    0.000 {built-in method builtins.compile}
       96    0.010    0.000    0.025    0.000 matmul_transform_2d.py:23(construct_conv_matrix)
      800    0.008    0.000    0.008    0.000 {built-in method zeros}
        1    0.008    0.008    0.008    0.008 {built-in method torch._C._cuda_init}
    91726    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     3326    0.008    0.000    0.008    0.000 {built-in method posix.stat}
     2695    0.007    0.000    0.007    0.000 {method 'values' of 'torch._C._TensorBase' objects}
     1208    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  566/217    0.006    0.000    0.016    0.000 sre_parse.py:493(_parse)
78292/77116    0.006    0.000    0.015    0.000 {built-in method builtins.len}
      734    0.006    0.000    0.006    0.000 {built-in method io.open_code}
     3050    0.005    0.000    0.009    0.000 _tensor.py:585(__len__)
       96    0.005    0.000    0.016    0.000 sparse_math.py:37(sparse_diag)
      735    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
      852    0.005    0.000    0.005    0.000 {built-in method ones}
    25471    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
51195/51185    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
        7    0.004    0.001    0.004    0.001 {built-in method torch._C._jit_get_operation}
      734    0.004    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:849(get_code)
   1119/1    0.004    0.000   15.471   15.471 {built-in method builtins.exec}
       24    0.004    0.000    1.995    0.083 matmul_transform_2d.py:73(construct_conv2d_matrix)
        1    0.004    0.004    0.004    0.004 {built-in method mkl._py_mkl_service.get_version}
      689    0.004    0.000    0.009    0.000 inspect.py:2112(_signature_from_function)
     6643    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        4    0.003    0.001    0.003    0.001 {built-in method _sparse_mm}
      800    0.003    0.000    0.003    0.000 {built-in method ones_like}
      825    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    23901    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     1468    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
 1114/207    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
      734    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      834    0.003    0.000    0.003    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
     1955    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3056    0.003    0.000    0.003    0.000 {built-in method torch._C._get_tracing_state}
    841/4    0.003    0.000    0.543    0.136 <frozen importlib._bootstrap>:986(_find_and_load)
11830/11826    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     6643    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     2290    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x5563e6f0aac0}
       90    0.002    0.000    0.596    0.007 __init__.py:1(<module>)
    25463    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1955    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      806    0.002    0.000    0.002    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
        1    0.002    0.002    0.059    0.059 {built-in method torch._C._initExtension}
     1307    0.002    0.000    0.005    0.000 functools.py:34(update_wrapper)
  822/821    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    807/6    0.002    0.000    0.543    0.090 <frozen importlib._bootstrap>:650(_load_unlocked)
       28    0.002    0.000    0.011    0.000 __init__.py:785(_rc_params_in_file)
      806    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  754/718    0.002    0.000    0.013    0.000 inspect.py:2206(_signature_from_callable)
     1955    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     6459    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    837/4    0.002    0.000    0.543    0.136 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    31639    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     2246    0.002    0.000    0.003    0.000 inspect.py:2477(__init__)
     7547    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     2737    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     2191    0.002    0.000    0.032    0.000 re.py:289(_compile)
      789    0.002    0.000    0.002    0.000 inspect.py:2760(__init__)
    66/56    0.002    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
     7349    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      321    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
 1317/424    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
       51    0.001    0.000    0.004    0.000 __init__.py:313(namedtuple)
     3057    0.001    0.000    0.003    0.000 typing.py:762(__setattr__)
      935    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     8533    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      397    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       35    0.001    0.000    0.004    0.000 enum.py:134(__new__)
      801    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     7023    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     6965    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      734    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    734/5    0.001    0.000    0.542    0.108 <frozen importlib._bootstrap_external>:777(exec_module)
     2387    0.001    0.000    0.023    0.000 inspect.py:606(getdoc)
       96    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       12    0.001    0.000    0.017    0.001 artist.py:1337(get_setters)
    10757    0.001    0.000    0.002    0.000 mathtext.py:2847(<genexpr>)
       38    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     6319    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      832    0.001    0.000    0.703    0.001 __init__.py:45(mm)
      414    0.001    0.000    0.005    0.000 typing.py:659(__init__)
     7644    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     2695    0.001    0.000    0.004    0.000 enum.py:283(__call__)
      425    0.001    0.000    0.017    0.000 artist.py:1290(get_valid_values)
      734    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      755    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
     2684    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
    14766    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       25    0.001    0.000    0.001    0.000 {built-in method tensor}
  806/801    0.001    0.000    0.169    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
  483/207    0.001    0.000    0.017    0.000 sre_parse.py:435(_parse_sub)
      370    0.001    0.000    0.002    0.000 colors.py:197(_to_rgba_no_colorcycle)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.dlopen}
     2202    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
1386/1303    0.001    0.000    0.011    0.000 typing.py:255(inner)
     3277    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     2285    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        5    0.001    0.000    0.001    0.000 _builtins.py:135(register_all)
  765/248    0.001    0.000    0.270    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     7766    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1114    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      565    0.001    0.000    0.001    0.000 enum.py:373(__setattr__)
      801    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1021    0.001    0.000    0.003    0.000 {built-in method builtins.any}
      800    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       10    0.001    0.000    0.350    0.035 __init__.py:2(<module>)
     1241    0.001    0.000    0.008    0.000 __init__.py:655(__setitem__)
      800    0.001    0.000    0.001    0.000 {method 'is_coalesced' of 'torch._C._TensorBase' objects}
      151    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
      207    0.001    0.000    0.029    0.000 sre_compile.py:759(compile)
     1468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      192    0.001    0.000    0.001    0.000 {built-in method max}
      837    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
  359/163    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3057    0.001    0.000    0.001    0.000 typing.py:646(_is_dunder)
     1747    0.001    0.000    0.015    0.000 artist.py:1356(is_alias)
     1534    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:376(cached)
      748    0.001    0.000    0.001    0.000 inspect.py:493(unwrap)
   484/55    0.001    0.000    0.310    0.006 {built-in method builtins.__import__}
      837    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1239    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
      700    0.001    0.000    0.004    0.000 colors.py:161(to_rgba)
     1818    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
       12    0.001    0.000    0.012    0.001 artist.py:1262(get_aliases)
      207    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
        7    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     3056    0.001    0.000    0.001    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      316    0.001    0.000    0.016    0.000 overrides.py:166(decorator)
       24    0.001    0.000    2.017    0.084 matmul_transform_2d.py:126(construct_strided_conv2d_matrix)
      459    0.001    0.000    0.001    0.000 enum.py:65(__setitem__)
      734    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     2844    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
      841    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1342    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
     3006    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5268    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1219    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      735    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
1345/1188    0.001    0.000    0.001    0.000 typing.py:720(__hash__)
      734    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     5268    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      821    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
     2476    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      207    0.000    0.000    0.018    0.000 sre_parse.py:937(parse)
      734    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      145    0.000    0.000    0.003    0.000 deprecation.py:168(deprecate)
     2476    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
  205/137    0.000    0.000    0.004    0.000 typing.py:347(__getitem__)
       68    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
       30    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
       70    0.000    0.000    0.005    0.000 __init__.py:1364(_preprocess_data)
     3074    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
